
Host: brian-novak-Galago-Pro

Timers On : Tue Feb  3 12:40:30 2026
Timers Off: Sat Feb  7 08:31:46 2026

Wall Time:   330675.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             : 118904.817u    218.250s  10904.425w    936 calls
build grid                          : 115913.267u    203.633s   9492.445w    936 calls
post-process grid                   :   2980.933u     14.317s   1411.094w    936 calls
DFH: sparsity prep                  :    652.700u      0.133s    391.794w    936 calls
Libint2ERI::Libint2ERI              :   7204.767u    162.283s   1252.402w  19656 calls
DFH: initialize()                   : 336053.183u  12683.583s  30343.326w    936 calls
DFH: AO Construction                :  60416.517u    985.017s   4886.093w  27145 calls
DFH: AO-Met. Contraction            : 240256.033u  11046.517s  20323.382w  27145 calls
HF: Form core H                     :   3825.033u     23.550s    319.325w    936 calls
HF: Form S/X                        :   1417.583u     35.250s    122.984w    936 calls
HF: Guess                           :   2285.433u     73.933s    196.992w    936 calls
SAD Guess                           :   2206.450u     71.183s    189.909w    936 calls
HF: Form G                          : 2608147.667u  30970.900s 239278.901w  25133 calls
RV: Form V                          : 1690828.700u   2836.833s 136343.103w  25133 calls
Properties                          : 634743.965p                         199103770 calls
Functional                          :  57771.558p                         199103770 calls
V_xc                                : 439547.528p                         191954933 calls
JK: D                               :    377.117u      8.750s     33.715w  25133 calls
JK: USO2AO                          :      7.833u      0.283s      0.535w  25133 calls
JK: JK                              : 916368.133u  28109.000s 102842.187w  25133 calls
DFH: compute_JK()                   : 916135.900u  28102.717s 102825.918w  25133 calls
DFH: Grabbing AOs                   :      0.450u      0.050s      0.119w  50266 calls
DFH: compute_J                      :  58934.250u    130.533s   4686.559w  50266 calls
DFH: compute_K                      : 789327.550u   3478.867s  82546.658w  50266 calls
JK: AO2USO                          :      0.267u      0.000s      0.040w  25133 calls
HF: Form F                          :    143.350u      6.600s     14.297w  25133 calls
HF: Form D                          :    232.867u      6.567s     22.953w  25133 calls
HF: DIIS                            :  16649.133u   1107.717s   1402.234w  24197 calls
HF: Form C                          :  23356.833u    543.767s   1888.656w  24197 calls
Grad: V T Perturb                   :   4848.833u     17.333s    398.889w    936 calls
Grad: S                             :    609.000u      5.600s     50.016w    936 calls
Grad: JK                            : 253283.067u  11723.783s  30640.587w    936 calls
JKGrad: Amn                         :  67337.133u   5033.750s   8646.807w    936 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.001w    936 calls
